time,Open,High,Low,Close,Volume,Ret_5d,Ret_20d
2015-04-23,224.31,235.17,224.31,235.17,55130032.39951651,-0.07274662881476235,0.040529180124773134
2015-04-27,230.99,230.99,218.51,228.57,95409417.4905671,-0.09731053275936974,0.005985652039963041
2015-04-30,225.64,236.22,225.64,236.22,103785827.2593271,-0.0009727215056036798,0.07813783660429041
2015-05-03,232.74,239.88,232.74,239.88,86630763.25450982,0.07559860102232974,0.029527896995708236
2015-05-07,238.97,238.97,229.82,236.85,74887945.15831198,0.06363391413687802,-0.014357053682896415
2015-05-11,243.66,243.66,239.55,241.85,70787411.31238237,0.028404983628864233,0.01562171922899247
2015-05-15,241.52,241.52,235.48,236.99,39256136.30427565,0.03683773023581405,-0.06660102402520673
2015-05-19,235.98,236.08,231.94,231.94,31085021.505248632,-0.01811870290407247,-0.17347302401824538
2015-05-23,234.05,240.94,234.05,239.03,47757592.65993454,-0.0035434383858595764,-0.1326293635242034
2015-05-27,241.24,241.24,237.23,237.23,30728765.83133291,0.0016043909647456278,-0.19843897824030277
2015-05-31,237.49,237.49,229.68,229.68,23353985.64778831,-0.05032044655778367,-0.19483979527448636
2015-06-03,223.32,225.74,223.32,225.48,30472196.11636243,-0.04856745010337993,-0.13276923076923086
2015-06-07,224.17,225.29,223.62,223.62,24133822.467004918,-0.035871346037768315,-0.15941811073939016
2015-06-11,228.7,229.93,228.7,229.93,28833233.41266869,-0.03807053507927871,-0.06967428687032162
2015-06-15,230.52,237.2,230.52,237.2,46839294.423419096,-0.0001264595540193536,-0.024951699757471246
2015-06-19,250.47,250.47,243.0,243.0,60767655.66479779,0.057993730407523536,-0.04187366926898506
2015-06-23,245.48,247.28,243.85,243.85,37387508.430996,0.08147064041156638,-0.03696536471703338
2015-06-27,240.54,250.62,240.54,250.62,49080095.21505225,0.12074054199087736,0.059928103193064075
2015-06-30,248.35,262.41,248.35,262.41,99893250.06832577,0.14126038359500726,0.17662093085821895
2015-07-03,257.51,257.51,254.65,255.16,42339288.96608291,0.075716694772344,0.14585952936949886
2015-07-07,260.42,271.04,260.42,265.38,64748934.30717278,0.09209876543209883,0.1284602627886211
2015-07-11,269.61,291.89,268.89,291.89,114394387.16569845,0.1970063563666189,0.27702673141707135
2015-07-15,310.19,310.19,283.95,283.95,52932167.70111447,0.1329901843428296,0.20205740411480821
2015-07-19,276.68,278.37,272.81,272.81,26896009.893020075,0.039632635951373674,0.13727697181924303
2015-07-23,277.25,277.25,274.94,275.61,34164576.518917255,0.08014579087631302,0.16364787840405337
2015-07-27,288.44,292.61,288.39,292.61,63540197.33148093,0.10260758158112893,0.20988215836262158
2015-07-31,293.99,293.99,283.68,283.68,63971590.58757594,-0.028127034156702813,0.19701253217435344
2015-08-03,280.7,281.83,280.7,281.83,41411646.7104373,-0.007466103187180884,0.2150987324308009
2015-08-07,284.24,284.24,278.01,278.51,47637462.16841643,0.020893662255782264,0.1651675521901017
2015-08-11,259.8,269.87,259.8,269.87,64124892.99653497,-0.020826530242008645,0.1375879947730052
2015-08-15,267.71,267.71,260.48,260.48,38131976.86865548,-0.10980485971087794,0.13409961685823757
2015-08-19,257.82,257.82,225.96,225.96,143390129.28370252,-0.20346869712351945,0.002128791910590788
2015-08-23,234.64,234.64,227.25,227.25,72465770.66977338,-0.193662846396764,0.01623289508988468
2015-08-27,210.09,225.27,210.09,222.97,69900344.06948392,-0.199418333273491,-0.030270082198930126
2015-08-31,231.66,231.66,228.07,230.08,58032869.77182835,-0.14744136065513025,-0.030016863406407968
2015-09-03,227.16,228.64,226.57,226.57,43765322.15025832,-0.13018273955773962,-0.06761316872427992
2015-09-07,230.05,240.5,230.05,240.5,50336412.979991846,0.06434767215436366,-0.013737953660036939
2015-09-11,243.56,243.56,237.95,240.0,44294574.3495357,0.05610561056105601,-0.04237491022264783
2015-09-15,234.91,234.91,229.91,229.91,58562863.20358095,0.031125263488361643,-0.12385198734804326
2015-09-19,228.46,232.75,228.46,231.27,39022087.91012471,0.00517211404728779,-0.09362752782567796
