Date,Open,High,Low,Close,Volume,Ret_5d,Ret_20d,ma
2015-06-15,230.52,237.2,230.52,237.2,46839294.423419096,-0.0001264595540193,-0.0249516997574712,234.93099999999998
2015-06-19,250.47,250.47,243.0,243.0,60767655.66479779,0.0579937304075235,-0.041873669268985,234.4
2015-06-23,245.48,247.28,243.85,243.85,37387508.430996,0.0814706404115663,-0.0369653647170333,233.93199999999996
2015-06-27,240.54,250.62,240.54,250.62,49080095.21505225,0.1207405419908773,0.059928103193064,234.64049999999997
2015-06-30,248.35,262.41,248.35,262.41,99893250.06832576,0.1412603835950072,0.1766209308582189,236.61000000000004
2015-07-03,257.51,257.51,254.65,255.16,42339288.96608291,0.075716694772344,0.1458595293694988,238.234
2015-07-07,260.42,271.04,260.42,265.38,64748934.30717278,0.0920987654320988,0.1284602627886211,239.74450000000002
2015-07-11,269.61,291.89,268.89,291.89,114394387.16569844,0.1970063563666189,0.2770267314170713,242.9105
2015-07-15,310.19,310.19,283.95,283.95,52932167.70111447,0.1329901843428296,0.2020574041148082,245.29699999999997
2015-07-19,276.68,278.37,272.81,272.81,26896009.893020075,0.0396326359513736,0.137276971819243,246.9435
2015-07-23,277.25,277.25,274.94,275.61,34164576.518917255,0.080145790876313,0.1636478784040533,248.88149999999996
2015-07-27,288.44,292.61,288.39,292.61,63540197.33148093,0.1026075815811289,0.2098821583626215,251.41950000000003
2015-07-31,293.99,293.99,283.68,283.68,63971590.58757594,-0.0281270341567028,0.1970125321743534,253.754
2015-08-03,280.7,281.83,280.7,281.83,41411646.7104373,-0.0074661031871808,0.2150987324308009,256.2485
2015-08-07,284.24,284.24,278.01,278.51,47637462.16841643,0.0208936622557822,0.1651675521901017,258.22249999999997
2015-08-11,259.8,269.87,259.8,269.87,64124892.99653497,-0.0208265302420086,0.1375879947730052,259.8545
2015-08-15,267.71,267.71,260.48,260.48,38131976.86865548,-0.1098048597108779,0.1340996168582375,261.3945
2015-08-19,257.82,257.82,225.96,225.96,143390129.28370252,-0.2034686971235194,0.0021287919105907,261.4185
2015-08-23,234.64,234.64,227.25,227.25,72465770.66977338,-0.193662846396764,0.0162328950898846,261.6
2015-08-27,210.09,225.27,210.09,222.97,69900344.06948392,-0.199418333273491,-0.0302700821989301,261.252
2015-08-31,231.66,231.66,228.07,230.08,58032869.77182835,-0.1474413606551302,-0.0300168634064079,260.896
2015-09-03,227.16,228.64,226.57,226.57,43765322.15025832,-0.1301827395577396,-0.0676131687242799,260.0745
2015-09-07,230.05,240.5,230.05,240.5,50336412.979991846,0.0643476721543636,-0.0137379536600369,259.90700000000004
2015-09-11,243.56,243.56,237.95,240.0,44294574.3495357,0.056105610561056,-0.0423749102226478,259.37600000000003
2015-09-15,234.91,234.91,229.91,229.91,58562863.20358095,0.0311252634883616,-0.1238519873480432,257.751
2015-09-19,228.46,232.75,228.46,231.27,39022087.91012471,0.0051721140472877,-0.0936275278256779,256.5565
2015-09-23,230.66,230.66,226.45,229.87,53526673.23620633,0.0145650350884936,-0.1338081241992613,254.781
2015-09-27,233.93,234.98,232.83,232.83,75776526.63573742,-0.0318918918918917,-0.202336496625441,251.82800000000003
2015-09-30,239.28,239.28,236.05,236.05,76056339.96172076,-0.0164583333333332,-0.16869167106885,249.43300000000005
2015-10-03,237.74,238.97,237.26,238.97,73353042.37453015,0.0394067243704059,-0.1240423738132766,247.74099999999999
2015-10-07,238.66,246.44,238.66,243.22,121587412.75625242,0.0516712068145457,-0.1175211349370487,246.12150000000003
2015-10-11,242.9,247.54,242.9,247.54,79268221.71546365,0.0768695349545394,-0.1540275451966782,243.868
2015-10-15,245.57,254.63,245.57,254.63,207297257.62019613,0.0936305458918522,-0.1024041173152848,242.4155
2015-10-19,262.37,270.36,262.23,264.21,224715633.9081733,0.1192967591611944,-0.0625199588404357,241.53449999999998
2015-10-23,270.27,277.39,267.02,277.39,130573069.75416414,0.1607733188266309,-0.0040213995906789,241.47850000000003
2015-10-27,282.96,294.81,282.96,294.81,329397533.93903714,0.2121124907491161,0.0924148664171637,242.7255
2015-10-31,303.64,325.8,303.64,312.28,321997491.79856926,0.2615334895370445,0.1988636363636362,245.3155
2015-11-03,325.0,398.24,325.0,398.24,987283928.3196412,0.5639948160075403,0.7624358293503275,253.92950000000002
2015-11-07,404.36,404.36,372.83,387.06,462741972.46864593,0.4649710457590554,0.7032343234323433,261.91999999999996
2015-11-11,371.5,380.64,305.98,305.98,572707252.5268553,0.1030678827643392,0.3722922366237611,266.0705
2015-11-15,337.96,337.96,320.48,320.48,237800138.65869677,0.0870730300871749,0.3929068150208623,270.59049999999996
2015-11-19,331.35,335.45,325.57,325.57,206391901.26959464,0.0425579608044064,0.4369510526548086,275.5405
2015-11-23,321.42,325.16,321.42,322.83,188739479.4368917,-0.1893581759742869,0.3423284823284822,279.65700000000004
2015-11-27,319.98,359.01,319.98,359.01,895711315.7104639,-0.0724693845915361,0.495875,285.60749999999996
2015-11-30,356.21,378.27,356.21,378.27,1299027009.4916246,0.2362572717171056,0.6452959853855855,293.0255
2015-12-03,363.45,363.45,358.82,360.95,1149814390.1438584,0.1262793310034946,0.560729882820945,299.5095
2015-12-07,362.77,394.36,362.77,394.36,1282263557.3988562,0.211290966612403,0.7155783703832601,307.734
2015-12-11,412.93,452.41,412.93,452.41,1623480958.4502342,0.4013877272868074,0.9430915260060988,318.713
2015-12-15,434.9,465.0,434.9,465.0,1555251795.3592968,0.2952285451658729,0.9699216267739884,330.1605
2015-12-19,453.91,463.82,453.91,462.05,556941126.9945824,0.2214820102043515,0.9335062978616564,341.3145
2015-12-23,441.13,442.82,436.24,442.82,955949147.6136756,0.2268181188530267,0.8206561960365102,351.2945
2015-12-27,454.91,455.74,417.09,423.93,1378749291.4939413,0.074982249721067,0.7125717055829361,360.114
2015-12-31,420.71,432.15,420.71,431.14,1310033274.6107447,-0.0470148758869167,0.6932019007972352,368.9395
2016-01-03,434.43,434.43,430.2,430.2,984185979.6461836,-0.0748387096774193,0.6282502554785967,377.239
2016-01-07,433.53,456.43,431.34,456.43,1637948558.2555692,-0.0121631858024023,0.6454450412776236,386.191
2016-01-11,454.7,454.7,447.21,448.35,1182725805.933856,0.0124881441669302,0.5208100132288593,393.86800000000005
2016-01-15,445.79,445.79,365.91,365.91,1576734613.7039278,-0.1368622178189794,0.171736902779557,396.5495
2016-01-19,384.81,386.36,379.02,379.02,1157108220.8545206,-0.1208888064201884,-0.0482623543591804,395.58849999999995
2016-01-23,418.85,418.85,377.21,389.64,755378842.1307422,-0.0942817294281729,0.0066656332351573,395.71750000000003
2016-01-27,403.06,403.06,392.33,394.49,1023661369.6216024,-0.1357053655544113,0.2892672723707432,400.143
2016-01-31,379.55,379.55,364.35,364.35,795209372.712972,-0.1873536299765807,0.1368884173739391,402.3365
2016-02-03,371.04,372.87,368.12,368.12,701511710.5572596,0.0060397365472384,0.1306938599993856,404.464
2016-02-07,388.38,388.38,374.9,375.52,551083226.5427567,-0.0092343411957153,0.163212836477403,407.09849999999994
2016-02-11,371.14,379.83,371.14,377.06,503979335.12027735,-0.032286212914485,0.0502771510542883,408.00100000000003
2016-02-15,382.72,404.14,382.72,399.38,1388195099.8471158,0.01239575147659,0.0558066989187617,409.0565
2016-02-19,407.01,421.42,407.01,419.38,601898504.2767404,0.1510360916700972,0.1618783765064413,411.97799999999995
2016-02-23,441.12,441.12,420.3,420.3,1465084346.963302,0.1417472563294577,0.0657774622172633,413.275
2016-02-27,423.19,432.14,423.14,432.14,595150632.3741599,0.1507775884107371,-0.0448044915010721,412.26149999999996
2016-02-29,432.8,436.92,432.8,436.92,1847224330.8996885,0.1587545748687211,-0.0603870967741935,410.85749999999996
2016-03-03,431.37,431.37,420.17,420.17,2737847218.462073,0.0520556863137864,-0.0906395411751974,408.7635
2016-03-07,409.41,413.74,397.24,413.74,2361080396.000645,-0.0134484238637989,-0.0656700239374915,407.30949999999996
2016-03-11,411.88,419.3,411.88,419.3,2440375016.827296,-0.0023792529145848,-0.0109216144174745,407.07800000000003
2016-03-15,410.8,415.64,410.8,415.64,2111129338.3052552,-0.0381820706252603,-0.0359511991464489,406.303
2016-03-19,416.54,418.4,406.74,406.74,1764836350.22334,-0.0690744301016204,-0.0545327754532775,405.13
2016-03-23,411.88,418.08,411.09,418.08,1985257305.3708296,-0.0049741771187853,-0.0840216462546283,403.2125
2016-03-27,414.88,425.35,414.88,425.35,2326287423.8189363,0.0280611011746507,-0.0512992082078732,402.0625
2016-03-31,422.76,422.76,412.6,415.37,1432304098.828801,-0.0093727641306939,0.1351698505096881,404.5355
2016-04-03,416.75,419.67,416.75,418.19,429476810.3973782,0.0061351169281109,0.1033454698960476,406.494
2016-04-07,419.44,422.65,419.44,421.08,593936633.4999853,0.0352559374539016,0.0806898675700646,408.066
2016-04-11,418.47,422.58,416.15,422.58,710470936.9100323,0.0107634902411022,0.0712058607315773,409.4705
2016-04-15,426.18,429.97,424.27,429.97,841700526.6271452,0.0108616433525332,0.180101550706738,412.7515
2016-04-19,430.94,436.37,428.03,436.37,674540887.3072404,0.0505573344247296,0.1854014995110289,416.16400000000004
